id,Name (Institution or Individual),Startups,LinkedIn Profile,Investor Type,Investment Lists,Company (from Associated Startups),Startup Count,Contacts,Name (from Contacts),Notes
rec3XqTA1CllN8t9I,Y-Combinator,"['recgl7wbpev8pOpLb', 'recpmEwNT3VnWYTnS', 'recZtayPmkgJAlyXL', 'recDc8UA3t1ID7RR0', 'rec2QZQEyHoyAspgF', 'rec3858RhxkzPlxyn', 'rec4Ixgf8O1b6mlk4', 'rec6OOKA6HwJcsn4v', 'rec7iz5x0Pfosvl4l', 'rec7kdzAmft5Knlz0', 'rec8lfVfM13eGFRYt', 'recAGUHV0LQ4R5Jcu', 'recAZieEE4q99jF25', 'recB3ypVxHUQg6ft7', 'recDMBQvsiItc5sMu', 'recEwT0SoJPtDK2j8', 'recGQxKxcbMz6sG3q', 'recI2fwxWSPbBTVQZ', 'recJmjehtcAVatQK9', 'recOfRaVSSQnAO19o', 'recRZ0XMSHOnlgKnc', 'recSVLREj85ksFafe', 'recWIfUxcXUE7K43n', 'recXnPYUVun4MOI0k', 'recZ86YHSbyTc91Fk', 'recjuF67BCPrAXWap', 'recmF3dwee6Rf89pN', 'recnTHO9styVKAcEE', 'reco8MriB9sqzRFXC', 'recpHEzTLRiIOR5r0', 'recxMbAOcj1YGb7ss', 'recZLjXqtn5X8UyXN', 'rec2qK8wJvoJQ9Kiv', 'recBNlqW2cCBhb4S9', 'recCAkszHkQepFB1Y', 'rechDfDIOtYDlToZa', 'rec1CrbN353epEi7o', 'rec1Iq25zsRJ8y9FC', 'rec1mydICtOTxjNq3', 'rec5QUfqGSABoUj6s', 'rec5ihK0g7MJG4rt5', 'rec9wSWDReRiKk9iq', 'recAF5Eeqxf5oNo4A', 'recAQmWBf4P7KdShD', 'recB1xDbj5RrzoNtj', 'recCe3rAApo2Pv4un', 'recDi0JhNjit7QGyZ', 'recExPjlrp7aRFhyU', 'recEyGgGWp7V50DfY', 'recFsmUzae6aA6blG', 'recHLIzvy2BAaeQgv', 'recJDuSxArWpKKgIP', 'recK4edV489MtMws1', 'recN8865uNS8FAygD', 'recR9ZUC6eQVOHI3A', 'recRwDJwYwaNfdNY9', 'recTrXin3zIwsC0O9', 'recUYuOwjn0AqysAy', 'recVYUXJTtVG8BIpg', 'recWwClDXaYBPdyYq', 'recYQKmfPHw6tMHjZ', 'reccyqLGDAvuXeV2X', 'recepm09yRz1k9NY9', 'recgjvlWBxn3gmXTS', 'rechwGr4EyxHmiFu8', 'recnzFC6HkoXkUXUs', 'recochIxbbsH3nP8H', 'recpOf8iAhu8YHpug', 'recppvL41E0U5myWL', 'recrTzEeC95TznTH8', 'recs6H0MDn1npIsB7', 'rectQyfc3R1cO2y5M', 'recwXoQpS7rsqoAeC', 'recwo0tzmlEfC1Cgh', 'recxGXLaLpbeTkhIi', 'reczjKfZW5J6JqR2h', 'reczzLW1fjIrHJgRq', 'recBeH0iLaTsE8HoB', 'recFemPnlRfNI9iCu', 'recMBPncNAmfdWWem', 'recXpmfBwcs07xU94', 'reccYkKuCSWYZaq9v', 'recjG6QfL6JSJr9Us', 'recsQTaCFBpIrDuoc', 'recx1MuzgPIdrPTpn']",https://www.linkedin.com/school/y-combinator/,Individual,"['Factory Futures (MES, IIOT)', 'Streamlined Supply Chain (SCM)', 'Factory Futures (MES, IIOT)', 'Streamlined Supply Chain (SCM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Design Intelligence (CAD)', 'Streamlined Supply Chain (SCM)', 'Cognitive Thread (PLM, MBSE, DT)', 'Design Intelligence (CAD)', 'Design Intelligence (CAD)', 'Cognitive Thread (PLM, MBSE, DT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Design Intelligence (CAD)', 'Knowledge Engineering (R&D, Learning)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Cognitive Thread (PLM, MBSE, DT)', 'Streamlined Supply Chain (SCM)', 'Design Intelligence (CAD)', 'Design Intelligence (CAD)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Streamlined Supply Chain (SCM)', 'SW+HW=Innovation (Robotics, Drones)', 'Factory Futures (MES, IIOT)', 'Design Intelligence (CAD)', 'Generalized Education', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Design Intelligence (CAD)', 'SW+HW=Innovation (Robotics, Drones)', 'Streamlined Supply Chain (SCM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Design Intelligence (CAD)', 'Cognitive Thread (PLM, MBSE, DT)', 'Design Intelligence (CAD)', 'Factory Futures (MES, IIOT)', 'Cognitive Thread (PLM, MBSE, DT)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Design Intelligence (CAD)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Bleeding Edge BIM (AEC/BIM)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Design Intelligence (CAD)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Design Intelligence (CAD)', 'Cognitive Thread (PLM, MBSE, DT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Factory Futures (MES, IIOT)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Bleeding Edge BIM (AEC/BIM)', 'Bleeding Edge BIM (AEC/BIM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Cognitive Thread (PLM, MBSE, DT)', 'Generalized Education', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Design Intelligence (CAD)', 'SW+HW=Innovation (Robotics, Drones)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'SW+HW=Innovation (Robotics, Drones)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Factory Futures (MES, IIOT)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Factory Futures (MES, IIOT)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Cognitive Thread (PLM, MBSE, DT)']","['MOVEdot', 'Mobius Materials', 'Leela AI', 'Sudozi (acquired by Zone & Co on 9 April 2026)', 'Zelos Cloud', 'MorphoAI', 'Poka Labs', 'artifact.engineer', 'Adam', 'Silimate', 'CoLab', 'GroundControl', 'ArchiLabs', 'Nextmv', 'Boltline', 'Campfire', 'Kalam Labs', 'Rescale', 'Dalus', 'Mandel AI', 'Plasticity', 'camfer', 'NavierAI', 'CoFactr', 'AON3D', 'Epsilon3', 'Hestus', 'RevisionDojo', 'Axial Composites', 'DraftAid', 'Atomic Industries', 'Jiga', 'Godela.ai', 'Rev1', 'Carbonfact', 'JitX', 'Forge Robotics', 'Korso', 'Efference', 'AutoPallet Robotics', 'Tiny', 'IoTFlows', 'Lightberry', 'Photonium', 'LineWise', 'BotBuilt', 'BildAI', 'Normal', 'Asimov', 'Womp', 'Atum Works', 'Charge Robotics', 'Bucket Robotics', 'PermitFlow', 'Diode Computers', 'SysGit', 'AiSupervision', 'Cortex AI', 'Daedalus', 'Sculpt', 'Duranium', 'Nominal', 'Flywheel AI', 'Azalea Robotics', 'Merlin AI', 'Provision', 'Cerrion', 'Handoff', 'Reframe', 'Thread', 'Maihem', 'Autumn Labs', 'Vendra', 'Gecko Robotics', 'Almond', 'Forge Automation', 'Boost Robotics', 'Pivot Robotics', 'Nox Metals', 'Kyten Technologies', 'Industrial Next', 'Loombotic', 'Pashi', 'Inversion Semiconductor', 'Elodin']",85,,,
recQpsBWgWA5h30SL,Insight Partners,"['rec8lfVfM13eGFRYt', 'recBbSGCtj8lyjwf0', 'recDB28cq9ZJxSPMO', 'recGoyQ9xfjzQTH4a', 'recHYBqnoVToJLZdM', 'recLcHLI6ctm2EU6C', 'recNM69VGQYACPQ7X', 'recQoXmyNVs9mxBao', 'recVy9LhoGyNIYsAO', 'reck7PzLjJhciQpJX', 'recleLXYV3KP12GWX', 'recr0TeU18gZaSe9e', 'recr9CZAsU7xMYkmN', 'recwqVPVGXleIjo9f', 'recxhL1LwIanxkUbp', 'recjVwJ9uNmggmr0C', 'recs4s3h3EQyeycg0', 'recuUkj9F23jdO3WK', 'rec1NQdo9Ulrw7koA', 'recH5wbn4Q72EHSM7', 'recOs9vKlCvaFo6YZ', 'recWPaR9wycBtVz3B', 'recrGEsVCAEkMiutH', 'recyrA17RZGo1gsi9']",https://www.linkedin.com/company/insight--partners,Institutional Investors,"['Cognitive Thread (PLM, MBSE, DT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Design Intelligence (CAD)', 'Streamlined Supply Chain (SCM)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Bleeding Edge BIM (AEC/BIM)']","['CoLab', 'Instrumental', 'BeyondMath', 'Tulip Interfaces', 'Software Defined Automation', 'GreenLite', 'MaterialsZone', 'Laminar', 'LandingAI', 'SimScale', 'Augury', 'Seeq', 'Monolith (acquired by CoreWeave in 2025)', 'Aquant', 'nTop', 'Parter', 'Apprentice', 'Imubit', 'Intenseye', 'KCF Technologies', 'Cognite', 'Arbor', 'BEAM', 'Trunk Tools']",24,['recyegNJcj61Dj1ai'],['Joshua Fredberg'],
rec0zPKQ3DstqESbe,NVentures (NVIDIA),"['rec30mNzF0ceoy5A2', 'recBLkicY8e7S1sx4', 'recdAkJS5ou96QoCb', 'rec6TkBnVySbyjpDS', 'recS7EiBi50k6R3ZB', 'recxhL1LwIanxkUbp', 'recH1QeSuLuNioBVb', 'rec8Km9DgdcmOLX2p', 'recI2fwxWSPbBTVQZ', 'recYo1lWfrlr1SZ7X', 'recYlg0NT6IgOfeua', 'recuv6DgeXnWlbges', 'rec2jYmqAjnG1SlCd', 'recBP6qGIv7Yro6Vp', 'recGzLin3Skzi8K2P', 'recHrzSFJYFMCSWoa', 'recS78JZAuvpJI9xe', 'reckzP1EVtcf8nUh5', 'reclFfSVk9CxURZSq', 'recs2OG6kwSdhrpkb', 'recmwwrJKKe3cqkw5', 'recBbSGCtj8lyjwf0', 'recua5w9lxPKzA0vr', 'rec6xOlHZTizafBcS']",,,"['Extreme Analysis (CAE, CFD, FEA, QC)', 'Design Intelligence (CAD)', 'Cognitive Thread (PLM, MBSE, DT)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'SW+HW=Innovation (Robotics, Drones)', 'Design Intelligence (CAD)', 'Factory Futures (MES, IIOT)', 'Design Intelligence (CAD)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'SW+HW=Innovation (Robotics, Drones)', 'Design Intelligence (CAD)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Bleeding Edge BIM (AEC/BIM)', 'SW+HW=Innovation (Robotics, Drones)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Design Intelligence (CAD)', 'Extreme Analysis (CAE, CFD, FEA, QC)']","['PhysicsX', 'Ricursive Intelligence', 'Cusp AI', 'Luminary Cloud', 'Machina Labs', 'nTop', 'Sight Machine', 'Morphorm', 'Rescale', 'Bright Machines', 'Compute Maritime', 'Vention', 'Field AI', 'Superluminal', 'Freeform', 'Lila', 'Outrider', 'Generalist AI', 'PassiveLogic', 'Bedrock Robotics', 'Seurat Technologies', 'Instrumental', 'Hanomi AI', 'Tensor9']",24,,,
recMvQsHYmUpRHkDm,Plug and Play,"['rec7d0FvjP1gyjPSG', 'recI2fwxWSPbBTVQZ', 'recL43YEluUQiUjKs', 'recVqn8f7uNVGdq6l', 'recgq4Vry0fK1ip3p', 'recl2sHNH1iBtTW8J', 'recvTZMETI2QaCr2N', 'recNHMUKBX1nbYoBr', 'rec2ncOTpg6A0sHKF', 'rec3858RhxkzPlxyn', 'recGoyQ9xfjzQTH4a', 'recP5koyD8aQgd6XJ', 'recjXw5dW1RqIvyyx', 'rec6RNto3co791W0G', 'recclaTjZju5gpkD9', 'recn2D5aDP5CNIKGh', 'recqsVXH9VG7Y8GJZ', 'recrp70RRuwa69BHM', 'recuCjAqKv4nFw7bx', 'recvXzA3G06oC0G8O', 'recvvHICqtW0Glscj']",,Institutional Investors,"['Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Design Intelligence (CAD)', 'Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Knowledge Engineering (R&D, Learning)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Design Intelligence (CAD)', 'Factory Futures (MES, IIOT)', 'Cognitive Thread (PLM, MBSE, DT)', 'Bleeding Edge BIM (AEC/BIM)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Design Intelligence (CAD)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Factory Futures (MES, IIOT)', 'Design Intelligence (CAD)']","['Dirac', 'Rescale', 'CELUS', 'BaseTwo', 'AMESA (formerly Composabl)', 'Acerta', 'etalytics', 'TopoLogic, Inc', 'KronosAI', 'MorphoAI', 'Tulip Interfaces', 'AI Materia', 'Track3D', 'BQP', 'Litmus', 'Makini', 'NODE Robotics', 'AutoPCB', 'Datch', 'Facilis AI', 'Circuit Mind']",21,,,
recEJONLqBGHBgbAz,Andreessen Horowitz (a16z),"['rec5nixfNkgLmUi8W', 'recCAm1lIBoVQBwkH', 'recI2fwxWSPbBTVQZ', 'recVBqaNkXtojSij5', 'reckp7Hbr8KY6qt02', 'recyac7zbzrxXSk7s', 'recRRukGbM2kMf1Rt', 'recfaUqVhL0xQCWuC', 'rec6OOKA6HwJcsn4v', 'recVQRAKLIEZV36mD', 'reckN5HuDIMT0oNr3', 'recFYBeiS68qquXlW', 'rec55vB7LkJaplbaG', 'rec7EAk8OJJNK6cnu', 'recYnYms2n8eetFzC', 'recZs3Yuj49ft25PT', 'recmvppta88BkBLRI', 'recr96fz38fLbW7WN', 'recxfMdB4WBRufAR3', 'recospNJaBlydZGEw']",https://linkedin.com/company/a16z ,Individual,"['Design Intelligence (CAD)', 'SW+HW=Innovation (Robotics, Drones)', 'Extreme Analysis (CAE, CFD, FEA, QC)', 'Bleeding Edge BIM (AEC/BIM)', 'Factory Futures (MES, IIOT)', 'Generalized Education', 'Design Intelligence (CAD)', 'Design Intelligence (CAD)', 'Cognitive Thread (PLM, MBSE, DT)', 'Cognitive Thread (PLM, MBSE, DT)', 'Design Intelligence (CAD)', 'Knowledge Engineering (R&D, Learning)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Streamlined Supply Chain (SCM)', 'SW+HW=Innovation (Robotics, Drones)', 'Bleeding Edge BIM (AEC/BIM)', 'SW+HW=Innovation (Robotics, Drones)', 'Cognitive Thread (PLM, MBSE, DT)']","['Common Sense Machines (acquired by Alphabet (Google) in January 2026)', 'Skydio', 'Rescale', 'Kaedim', 'Hadrian', 'Labster', 'Backflip AI', 'Leo AI', 'artifact.engineer', 'EverCurrent', 'Sloyd', 'Periodic Labs', 'Drishti Technologies (acquired by Apple in 2023)', 'Parsable (acquired by CAI Software in 2024}', 'Doxel', 'Regrello (acquired by Salesorce in 2025)', 'Anduril', 'Unlimited Industries', 'Symbio Robotics (bankruptcy in 2024)', 'Rollup']",20,,,
recXXm8sO4GuzKnwb,Lux Capital,"['recFBuNnNTU7JEJGd', 'recFsmUzae6aA6blG', 'recG0V8gg3wGEf4mV', 'recKIkbCIk4cyBuz7', 'recUUYnLLIijmfRLo', 'recYo1lWfrlr1SZ7X', 'recdyBD0xEfMJTdFw', 'recjuF67BCPrAXWap', 'reckp7Hbr8KY6qt02', 'rectETKS0Dpcq47af', 'rec9p9EqFFPkfr4he', 'reccyqLGDAvuXeV2X', 'recGzRYB2DDDRn9V8', 'recgsDt6wQo6utu4m', 'reckejRtpwu5mxbxY', 'recn06EPRldUIBkOV', 'recyQYu9POcb3K7Tj', 'recGAWGRWExg7Ujpo']",https://www.linkedin.com/company/lux-capital,Institutional Investors,"['Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Design Intelligence (CAD)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Cognitive Thread (PLM, MBSE, DT)', 'Bleeding Edge BIM (AEC/BIM)', 'Factory Futures (MES, IIOT)', 'Bleeding Edge BIM (AEC/BIM)', 'Streamlined Supply Chain (SCM)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Adaptive Manufacturing (AM, CAM, CNC)']","['Pictorus', 'Womp', 'Desktop Metal (acquired by Nano Dimension in 2025)', 'Formic', 'Voxel', 'Bright Machines', 'Lumafield', 'Epsilon3', 'Hadrian', 'Bild', 'OpenSpace', 'Nominal', 'Matterport (acquired by CoStar Group in 2025 - $1.6B)', 'Aera Technology', 'Saildrone', 'Applied Intuition', 'Physical Intelligence', 'Layup Parts']",18,,,
recPNCTI8F5oO87cn,OSS Ventures,"['recLUY2U34akfaLna', 'recXPO2M6zbDLNPye', 'recegdPN1Tz7OLoL4', 'rec07x8Xl1Xn382A5', 'recB0YiEkQCBjvw3B', 'recG7qHqkt7cngenQ', 'recH9TN1fEpRlDRhN', 'recIVnyS54lm06ayp', 'recO386qsoNnT3VkS', 'recUBkyr3TrOKwkVb', 'recWHtcFy1VphMAfP', 'reca0CKGCzC4BUBRJ', 'reccjR5RSgJ8y3urC', 'receRlhEnuteunlrn', 'rechAsitWQGYCSjWN', 'recnVv7Opm5iARmI0', 'recbTI1L7mrfFFKrl']",,VC Fund,"['Streamlined Supply Chain (SCM)', 'Factory Futures (MES, IIOT)', 'Cognitive Thread (PLM, MBSE, DT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Bleeding Edge BIM (AEC/BIM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Streamlined Supply Chain (SCM)', 'Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Streamlined Supply Chain (SCM)']","['Flowlity', 'Fabriq', 'Cognyx', 'Cybeletech', 'Relief', 'Stargazr', 'Yoshu', 'Mercateam', 'NRJx', 'Juno', 'Kraaft', 'Vela', 'Cinqo', 'Oplit', 'Vitesse Automation', 'Bonx', 'Parsio']",17,,,
recQqQxiYUdtYCsMT,Momenta Ventures,"['recWwgNKFTLztkKlf', 'recgq4Vry0fK1ip3p', 'recWlsfk4NFkADxhz', 'reckz5OAZf3rKWGP2', 'recOIFJQqwBMz02qx', 'recybbkQLXwHFtvd8', 'rec1ZFcD6n94fLmM9', 'recF7Jvw3s1nWdbwT', 'recclaTjZju5gpkD9', 'recnhgzAr1q9pKVF8', 'reco3KyMTy3JQjuBC', 'recqsVXH9VG7Y8GJZ', 'recvuczdnSuGGbtDe', 'recxLVLQ80tLXB5CV', 'recZw3ojyalDdGbzv']",https://www.linkedin.com/company/momentavc,Institutional Investors,"['Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Factory Futures (MES, IIOT)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)']","['Pico MES', 'AMESA (formerly Composabl)', 'HighByte', 'Smartex.ai', 'MatAlytics', 'APERIO', 'Phantasma Labs', 'TVARIT', 'Litmus', 'AICA', 'SprayVision', 'NODE Robotics', 'Raven', 'Eigen Innovations', 'Surveily']",15,['recKKxJmSRuqPRMoF'],['Arinderpal (Hans) Hanspal'],
recHVdQ5ao0XJlqxx,Innovate UK,"['rec6ZiWbsHoZwg5Ys', 'rec9fXaDmGWIhcUkt', 'recBb81FPZCTSrkkT', 'recJfn3i1mXRpsOYd', 'recOIFJQqwBMz02qx', 'recQyC01VNanWsPfv', 'recbpJYXobrrvTmDu', 'recyF4sX5KjbeYOpD', 'reczWRVSvY4MYVXdr', 'recclqhy1mEeilUHS', 'recON2N2rJJCY22kt', 'rechtAplULXK5qiyi', 'recpj5vPLATQA6JVt']",,Individual,"['Extreme Analysis (CAE, CFD, FEA, QC)', 'Cognitive Thread (PLM, MBSE, DT)', 'Bleeding Edge BIM (AEC/BIM)', 'Bleeding Edge BIM (AEC/BIM)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Factory Futures (MES, IIOT)', 'Design Intelligence (CAD)', 'Design Intelligence (CAD)', 'Design Intelligence (CAD)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Adaptive Manufacturing (AM, CAM, CNC)', 'Factory Futures (MES, IIOT)']","['Voxshell', 'Matrac', 'Planarific', 'XYZ Reality', 'MatAlytics', 'Authentise', 'Gravity Sketch', 'Infinitive (formerly CAE Tech)', 'Axial3D', 'Productive Machines', 'Matta Labs', 'Instruct3D', 'Pattern Project']",13,,,
rec3rdVKO09OTOsGK,Alumni Ventures,"['rec6RNto3co791W0G', 'rec7d0FvjP1gyjPSG', 'recHmtYpCHSxzL1Us', 'recHrzSFJYFMCSWoa', 'recMTewdnv14V4xxC', 'recS7EiBi50k6R3ZB', 'recSAGzsrJ3WSuoH0', 'recYkDpXJjVoomX7k', 'rechEaoIuPsmQEqRc', 'recyrA17RZGo1gsi9', 'reczjzXYBgUGpdPXn', 'recdyBD0xEfMJTdFw', 'recjtb0uz9MTyuK0I']",,,"['Extreme Analysis (CAE, CFD, FEA, QC)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'SW+HW=Innovation (Robotics, Drones)', 'Augmented Operations (MOM, CMMS, AR/VR, SLM)', 'Factory Futures (MES, IIOT)', 'Cognitive Thread (PLM, MBSE, DT)', 'Bleeding Edge BIM (AEC/BIM)', 'Cognitive Thread (PLM, MBSE, DT)', 'SW+HW=Innovation (Robotics, Drones)', 'Design Intelligence (CAD)']","['BQP', 'Dirac', 'Glacier', 'Lila', 'ControlRooms.ai', 'Machina Labs', 'Overview AI', 'Divergent', 'Propel Software', 'Trunk Tools', 'Citrine Informatics', 'Lumafield', 'Zoo']",13,,,
